LAMMPS data generated from YCOR400.gro

31200 atoms
6 atom types

0.000000 75.29860000 xlo xhi
0.000000 75.29860000 ylo yhi
0.000000 75.29860000 zlo zhi

Masses

1 12.0110000000 # C
2 18.9984031630 # F
3 1.0080000000 # H
4 14.0070000000 # N
5 15.9990000000 # O
6 32.0600000000 # S

Atoms # atomic

362 1 23.64000000 53.30000000 4.49000000
363 1 24.09000000 54.47000000 4.81000000
364 6 23.35000000 55.79000000 3.84000000
365 3 25.08000000 54.65000000 5.23000000
366 1 24.07000000 52.02000000 5.18000000
367 3 24.84000000 52.20000000 5.93000000
368 3 23.29000000 51.49000000 5.72000000
369 3 24.52000000 51.40000000 4.41000000
370 1 18.13000000 52.68000000 0.87000000
371 1 17.01000000 53.11000000 0.12000000
372 1 16.74000000 54.72000000 75.24000000
373 1 15.82000000 55.50000000 74.51000000
374 6 14.49000000 55.24000000 73.36000000
375 4 16.12000000 52.20000000 74.77000000
376 1 16.46000000 50.96000000 74.86000000
377 1 17.61000000 50.52000000 0.28000000
378 4 18.39000000 51.32000000 0.95000000
379 1 17.80000000 49.07000000 0.13000000
380 1 16.69000000 48.56000000 74.67000000
381 1 15.73000000 49.69000000 74.34000000
382 5 14.72000000 49.40000000 73.72000000
383 1 16.68000000 47.21000000 74.38000000
384 3 15.87000000 46.77000000 73.79000000
385 1 17.72000000 46.36000000 74.91000000
386 3 17.72000000 45.29000000 74.73000000
387 1 18.80000000 46.90000000 0.27000000
388 3 19.47000000 46.21000000 0.78000000
389 1 18.84000000 48.27000000 0.52000000
390 3 19.70000000 48.79000000 0.94000000
391 2 41.44000000 11.38000000 24.89000000
392 1 40.99000000 10.38000000 24.14000000
393 1 39.64000000 10.43000000 23.69000000
394 3 39.07000000 11.33000000 23.87000000
395 1 39.06000000 9.39000000 23.03000000
396 1 37.57000000 9.01000000 22.77000000
397 1 36.51000000 9.75000000 23.12000000
398 1 35.20000000 9.25000000 23.57000000
399 4 34.30000000 8.64000000 23.93000000
400 1 36.36000000 11.23000000 22.98000000
401 4 36.10000000 12.34000000 22.81000000
402 1 37.51000000 7.71000000 21.99000000
403 1 38.96000000 7.36000000 21.93000000
404 5 39.34000000 6.38000000 21.29000000
405 1 39.89000000 8.30000000 22.71000000
406 1 41.21000000 8.20000000 23.16000000
407 3 41.71000000 7.24000000 23.16000000
408 1 41.76000000 9.23000000 23.85000000
409 2 43.05000000 9.30000000 24.23000000
410 1 36.54000000 7.39000000 21.13000000
411 3 36.03000000 8.28000000 20.75000000
412 1 36.25000000 6.21000000 20.39000000
413 1 36.38000000 6.20000000 19.02000000
414 1 36.62000000 7.42000000 18.07000000
415 3 36.47000000 8.39000000 18.54000000
416 3 37.60000000 7.31000000 17.61000000
417 3 35.87000000 7.39000000 17.28000000
418 1 36.02000000 4.88000000 18.54000000
419 1 35.58000000 3.98000000 19.46000000
420 6 35.66000000 4.71000000 21.05000000
